,datetime_h,median_block_net_profit,median_tail_gas_price,median_total_gas_used,median_base_fee_per_gas,predict,predict_lb,predict_ub,is_in_ci
0,2021-08-05 12,0.2370439568187277,3.2492916048e-08,21759183.0,3.0353948242e-08,0.10133056006582032,0.07132230243183735,0.14396453918556298,False
1,2021-08-05 13,0.1622503224681653,5.6924969479e-08,13933130.0,5.3972913495e-08,0.1113987236544315,0.07587037514843296,0.16356417913524327,True
2,2021-08-05 14,0.21134094011779075,8.19382684825e-08,12333539.0,7.788880176400001e-08,0.13529956494615158,0.0913564838636134,0.20037956257102643,False
3,2021-08-05 15,0.1880582191448756,6.60371719625e-08,12023403.5,6.3650336892e-08,0.10765469284136395,0.07242104001286773,0.16002991518361506,False
4,2021-08-05 16,0.22464238755637983,7.200000072949999e-08,12026875.0,7.020765626300001e-08,0.11150123108448823,0.07482963893914232,0.16614438756637068,False
5,2021-08-05 17,0.6134681837420093,2.53e-07,12417287.0,2.37148925709e-07,0.342516316190957,0.22941646779436967,0.5113731720522239,False
6,2021-08-05 18,0.22067229962372356,7e-08,12255944.5,6.63156459305e-08,0.11927647052670595,0.07974755820849974,0.17839889698079572,False
7,2021-08-05 19,0.1746882255239743,5.4e-08,12449074.0,5.1297682955e-08,0.097330176119521,0.0649619891077853,0.14582624875816294,False
8,2021-08-05 20,0.1693514506757747,5.7193937342e-08,13361646.0,5.3322483255e-08,0.11218277528510821,0.07474851637351619,0.16836421217756783,False
9,2021-08-05 21,0.1504531885502715,4.4846750326e-08,13120375.0,4.189071682e-08,0.09093604445522949,0.06049048169643666,0.13670521294014756,False
10,2021-08-05 22,0.1237649043334656,4.51069246355e-08,13563998.5,4.25638020055e-08,0.09071907377944859,0.060246538230301766,0.1366045351176987,True
11,2021-08-05 23,0.134825447482457,3.92e-08,14220979.0,3.7360506575e-08,0.08139763947166764,0.05396782189222288,0.12276900344044413,False
12,2021-08-06 00,0.1169764133126278,3.7e-08,14105372.0,3.4705554441e-08,0.08076953451563412,0.05346467865149239,0.1220192072676025,True
13,2021-08-06 01,0.1125536195985459,3.8409201014e-08,13814004.0,3.6521337531e-08,0.07902403876595834,0.052225356739285925,0.1195740746024643,True
14,2021-08-06 02,0.10952214833400135,3.7791854717999996e-08,13546052.5,3.5983153016e-08,0.07670688984882816,0.05061342877185034,0.1162526841799884,True
15,2021-08-06 03,0.1032645375274077,4.0872127227e-08,13927472.0,3.8306624852e-08,0.08671850849504541,0.057129266660500076,0.13163305176477538,True
16,2021-08-06 04,0.1080122717334823,3.8e-08,13596204.0,3.5910903813e-08,0.07874302878308877,0.05179413774061759,0.11971363656995232,True
17,2021-08-06 05,0.1049016502551412,3.2e-08,13724249.0,3.0366804157e-08,0.06832753763307862,0.044873711561878124,0.1040398094229845,False
18,2021-08-06 06,0.10043172232668054,3.09264960735e-08,12966391.5,2.9051910032499998e-08,0.06588475280496554,0.04320309642704118,0.10047429492702917,True
19,2021-08-06 07,0.08934308702791124,3.0844869123e-08,14334616.5,2.8767747563e-08,0.07150559560065717,0.046817652183061505,0.10921201648925509,True
20,2021-08-06 08,0.0989186889382254,3.4126803398e-08,13237265.0,3.2342818088e-08,0.07037215102474235,0.046006152272924934,0.10764298675687312,True
21,2021-08-06 09,0.1016475242382228,3.0986950152e-08,12990888.0,2.8995853708e-08,0.06666403597465619,0.04351689785951291,0.10212340288540958,True
22,2021-08-06 10,0.1017398361376655,2.9809125767e-08,14200217.0,2.8145457107e-08,0.06677231318774329,0.04352308415106543,0.10244085168612604,True
23,2021-08-06 11,0.0942719823993201,3e-08,13157997.0,2.8010254587e-08,0.06584374966179103,0.04285488281170576,0.10116465347888892,True
24,2021-08-06 12,0.11141065924118805,3.60196750065e-08,13589240.5,3.41208700715e-08,0.0746286834107471,0.04850199216544305,0.1148291057535089,True
25,2021-08-06 13,0.1438771825937763,4.2219761697e-08,13752920.0,3.9926184957e-08,0.0856291864454268,0.05557111450793417,0.1319454834806091,False
26,2021-08-06 14,0.1347690256334868,4.8e-08,13937336.0,4.5283465806e-08,0.0961770439418485,0.06232719540475548,0.14841071736538453,True
27,2021-08-06 15,0.1659135986112394,5.6e-08,14276075.0,5.3369217945e-08,0.1072623989646393,0.06941252559404186,0.16575138468433748,False
28,2021-08-06 16,0.40710884444296663,8.3e-08,14130309.5,8.054114165e-08,0.138363822695037,0.08941333902975926,0.21411287888948866,False
29,2021-08-06 17,0.2266915857102311,5.9046291617e-08,14194993.0,5.6494056585e-08,0.11012669510991312,0.07106683276029814,0.17065469931294117,False
30,2021-08-06 18,0.1642775655463513,6.5508614411e-08,13068133.0,6.3392474019e-08,0.10980286308619387,0.07075998274032509,0.17038823746143328,True
31,2021-08-06 19,0.14325192718486246,5.2808101449000004e-08,14166662.0,5.0314020375e-08,0.1017416530644921,0.06547531322109473,0.15809567696669663,True
32,2021-08-06 20,0.1348416027296797,5.2e-08,13154253.5,5.0427651650000006e-08,0.091222053224842,0.05862574266748949,0.14194213353941043,True
33,2021-08-06 21,0.1279478014077493,4.9799137109e-08,13852189.0,4.8340639691e-08,0.09085378894447473,0.058310423141797255,0.14155978504039268,True
34,2021-08-06 22,0.14079388794877,5.1e-08,13110376.0,4.916236313e-08,0.09102669245486097,0.05834335528028349,0.14201889314500837,True
35,2021-08-06 23,0.11566136525817924,4.39144171295e-08,14398288.5,4.2201678436e-08,0.08659741185580896,0.055430887981504785,0.13528759890382375,True
36,2021-08-07 00,0.12841727535719616,4.4686258962e-08,13213613.0,4.26340905845e-08,0.08468210708879585,0.05413368604116065,0.13246944343575198,True
37,2021-08-07 01,0.13653537419139455,4.1e-08,14359394.0,3.9070427189e-08,0.08370089790433992,0.05343671597745254,0.13110536794493186,False
38,2021-08-07 02,0.11729831105404795,4.3210992929999996e-08,13946148.0,4.1171885427e-08,0.08560790948507921,0.05458355984871459,0.13426596188885437,True
39,2021-08-07 03,0.1006514091873103,3.7862785356e-08,13906981.5,3.59918572055e-08,0.07742551027302037,0.04930317961295539,0.12158870255626177,True
40,2021-08-07 04,0.11895519967995066,4.2000001459e-08,14416424.0,4.00463062375e-08,0.08526109210597303,0.05422369928949058,0.13406414395102242,True
41,2021-08-07 05,0.0934158030342695,4.19637311655e-08,13591881.5,4.0163812035e-08,0.08113039237109472,0.05153160707431714,0.1277301629036184,True
42,2021-08-07 06,0.1065056912129551,3.7e-08,14339727.0,3.5248911096e-08,0.07695948677484273,0.04882120988572149,0.12131535901119474,True
43,2021-08-07 07,0.0951201072616021,3.6e-08,13173536.0,3.40857688835e-08,0.072471043902844,0.04591678919577879,0.11438195693462759,True
44,2021-08-07 08,0.0927621631066473,3.9060925461e-08,12758686.0,3.7181627914e-08,0.07458415756469708,0.04719744695826267,0.11786223446693665,True
45,2021-08-07 09,0.1590821452650286,4.7795306358e-08,12491206.0,4.5972968e-08,0.08382606948736601,0.052981005923163044,0.13262885072230435,False
46,2021-08-07 10,0.1415879313571322,4.5961791026e-08,13766678.0,4.3993279221e-08,0.08766504147613792,0.05534022537550109,0.13887112755444564,False
47,2021-08-07 11,0.1164857241078571,3.8731067804e-08,13202486.0,3.655827148e-08,0.07739138727036463,0.04879604852803633,0.122744095153325,True
48,2021-08-07 12,0.1693031558891178,5.6321940951e-08,14642242.0,5.4700674724e-08,0.10283858469241017,0.06476341882439211,0.16329858264917327,False
49,2021-08-07 13,0.1399613983009557,4.6611044001e-08,13120409.0,4.4246278101e-08,0.08777500963456451,0.055211593144226245,0.13954410437355017,False
50,2021-08-07 14,0.1224011300147367,4.1903839847e-08,13829032.0,3.9810365858e-08,0.0832438918455733,0.052299977975507055,0.1324961462286414,True
51,2021-08-07 15,0.1298921424205192,4.9559479011e-08,14224270.0,4.7310882776e-08,0.09548740418301749,0.05992236254050111,0.1521609624695331,True
52,2021-08-07 16,0.1713471808690847,5.3530833952500005e-08,14000039.5,5.0790651435500004e-08,0.10210279890860957,0.06399972816579133,0.1628910285050906,False
53,2021-08-07 17,0.1311710122278366,4.2e-08,12848880.0,3.9955289658e-08,0.07911437757002021,0.04953331867672976,0.1263611020925228,False
54,2021-08-07 18,0.1167567731497802,4.0370238683e-08,12938462.0,3.8491849989e-08,0.07650497991436372,0.047845058447859794,0.12233263249277133,True
55,2021-08-07 19,0.1214819944882021,4.8e-08,13312815.0,4.5790142158e-08,0.08919398348658104,0.05571756402534732,0.1427838210332617,True
56,2021-08-07 20,0.1243324944206636,4.4e-08,13731873.0,4.1707701517e-08,0.08639892512999651,0.05391105594793857,0.13846462719682978,True
57,2021-08-07 21,0.1267581997720097,4.4e-08,12679827.0,4.1786439088e-08,0.08159872006711567,0.05085919774724113,0.13091734458105347,True
58,2021-08-07 22,0.1251256397672402,5e-08,14209713.0,4.79448682705e-08,0.094589573525122,0.058891113751968344,0.15192763134600104,True
59,2021-08-07 23,0.13762313462471604,5.7028067056e-08,13452173.0,5.5397102784e-08,0.09772512103062453,0.060776642103786645,0.1571360139334712,True
60,2021-08-08 00,0.198734897230338,7.7731912928e-08,13485762.0,7.4475648476e-08,0.1298153576579173,0.0806462443735819,0.20896232942712678,True
61,2021-08-08 01,0.24640783776269545,6.9246662015e-08,13086817.5,6.7823891207e-08,0.10932267757869009,0.06784213208613614,0.17616556946942655,False
62,2021-08-08 02,0.1403934504808122,4.28909921655e-08,14647186.5,4.0733350489999994e-08,0.08755556024751794,0.054275976169769376,0.1412406864185805,True
63,2021-08-08 03,0.0876791730451924,4.1587383288000003e-08,12985363.5,3.99191854135e-08,0.076729183306779,0.04751411708054161,0.12390775484569277,True
64,2021-08-08 04,0.0775907516111897,3.3912286495500005e-08,13250619.0,3.1451801150999996e-08,0.0726604584215214,0.04494711836209158,0.11746119463085333,True
65,2021-08-08 05,0.0645954710396803,3.0773790595e-08,12947567.0,2.8986010228e-08,0.06350204838253501,0.039240678439582226,0.10276351758256577,True
66,2021-08-08 06,0.0873772327171522,3.4253778436e-08,13907725.0,3.2629891407e-08,0.07014614248471016,0.043301306901777116,0.11363355190749032,True
67,2021-08-08 07,0.07992887286042699,3.82839829915e-08,12996563.0,3.6056855982000004e-08,0.07560490534203705,0.04662286681945139,0.1226029650624913,True
68,2021-08-08 08,0.0796782186050961,3.262e-08,13857988.0,3.0105694587e-08,0.07336632075266922,0.04519608817659208,0.11909475439007798,True
69,2021-08-08 09,0.0957456694924721,2.6483148193e-08,13252146.0,2.4802383466e-08,0.0580342950918525,0.03571471681287946,0.09430228509032032,False
70,2021-08-08 10,0.1015068357076005,2.9737439487e-08,13591548.0,2.7595302293e-08,0.06627418368663698,0.04074445613382722,0.10780036942703262,True
71,2021-08-08 11,0.0964971715292484,2.7593900964e-08,14056769.0,2.6093402445e-08,0.06059050519264206,0.0372129046812382,0.09865419942212988,True
72,2021-08-08 12,0.088533919087939,3.0425886702500004e-08,13823892.5,2.8733644179500003e-08,0.06495927818675058,0.03985641503022303,0.1058727389140206,True
73,2021-08-08 13,0.094315832005607,3.0821505351e-08,14008793.0,2.9067286888e-08,0.0664102902727286,0.04070648666039579,0.1083445665773699,True
74,2021-08-08 14,0.1024363970627733,2.9438070328e-08,13780828.0,2.7902787745e-08,0.062465721884337196,0.03825113521301184,0.10200916623264127,False
75,2021-08-08 15,0.1379857297034177,3.8431754318e-08,13982602.0,3.6394991485e-08,0.07801367891312738,0.047725527835490805,0.1275236623582111,False
76,2021-08-08 16,0.1549911302132898,4.6e-08,13165512.0,4.3797738682e-08,0.08519345761401743,0.05206749759312478,0.13939454661231412,False
77,2021-08-08 17,0.1573563147775742,5.39e-08,14020361.0,5.1336268231e-08,0.10044110777382917,0.061327529097894476,0.16450061300741894,True
78,2021-08-08 18,0.3616024022311705,5.6e-08,13213022.0,5.3222345868e-08,0.10017325728576362,0.06110577899886717,0.1642182071752301,False
79,2021-08-08 19,0.12210369649565495,4.30129714305e-08,12377460.5,4.0929948256e-08,0.07764183189874908,0.047316842254892716,0.1274018673545416,True
80,2021-08-08 20,0.13336350007758405,4.0312409402499997e-08,13689952.0,3.8363901373499996e-08,0.07866221453776982,0.047893721663905854,0.12919739333285923,False
81,2021-08-08 21,0.1059905938000045,3.2421534936e-08,14572332.0,3.0626695266e-08,0.07031801564594364,0.042773459688795236,0.11560026615472604,True
82,2021-08-08 22,0.0943321597040378,3.2391060210500004e-08,12021144.5,3.0266881865e-08,0.06390248999017423,0.03883504380755689,0.10515060179099649,True
83,2021-08-08 23,0.0945895475301681,3e-08,13965396.5,2.8380585197e-08,0.06401990514086446,0.038870681388533196,0.10544060736363502,True
84,2021-08-09 00,0.1177478978097008,3.4e-08,13092178.5,3.1994555307e-08,0.06875816716794479,0.04170953653537491,0.11334783229454903,False
85,2021-08-09 01,0.1428230585299887,4.2e-08,14230380.0,3.9904956891e-08,0.08349027052762423,0.05060037036527821,0.13775838442398233,False
86,2021-08-09 02,0.0921900560661801,3.4326073428e-08,14056649.0,3.2600426215e-08,0.07065681088490906,0.0427840011284185,0.11668812623300213,True
87,2021-08-09 03,0.09995954975442894,3.0371644209e-08,12286798.5,2.8008587699499998e-08,0.06371088735765085,0.03854369224723849,0.10531106210225856,True
88,2021-08-09 04,0.0949755836075374,2.8547070643e-08,13738151.5,2.6901464478e-08,0.06141446941293358,0.037121489400303645,0.10160521881542024,True
89,2021-08-09 05,0.0972787326483162,2.972821279e-08,12960159.5,2.80297713685e-08,0.06095344554923871,0.03681041241577866,0.10093129309063235,True
90,2021-08-09 06,0.1106409167764077,2.8e-08,14281101.0,2.6322793874e-08,0.06236618853185925,0.037630677932106775,0.10336091948725765,False
91,2021-08-09 07,0.12210492984228866,3.13539238105e-08,15256524.0,2.9658182186e-08,0.06995244573456012,0.04217147739314113,0.11603446136422159,False
92,2021-08-09 08,0.1132544899377108,3.3275669957e-08,14281784.0,3.1341375607e-08,0.07106098555767917,0.04280286563461314,0.11797489709065663,True
93,2021-08-09 09,0.1413310926543713,3.7e-08,14717893.0,3.4740658376e-08,0.0794401248405325,0.04780902128521201,0.1319987999133416,False
94,2021-08-09 10,0.15651015940238786,3.9426039492e-08,14080955.5,3.7999415398499996e-08,0.07552373060430315,0.04541342649674906,0.12559796351855695,False
95,2021-08-09 11,0.1390762178463167,4.2e-08,14412923.0,3.9884703496e-08,0.08391051158457336,0.050413943407467104,0.13966322565716888,True
